Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
"RANDON PART",RAPT3,Indústria,1767089996.5,-7.62,0.59,-0.72,-0.0791,0.0524,-0.0191,0.2509,0.1232,-0.1542,0.1967,3.42,2.16
"RUMO S.A.",RAIL3,Indústria,29239374145.41,35.66,2.18,0.46,0.0609,-0.0418,0.0612,0.4539,0.6330,0.2331,0.1473,1.84,1.57
PORTOBELLO,PTBL3,Materiais,432829740.02,-1.43,15.76,-2.07,-1.4857,0.0780,-0.1119,0.3576,0.1203,-0.4200,0.1437,3.51,0.86
PETTENATI,PTNT3,"Consumo Discricionário",424411429.4,14.18,1.01,0.65,0.0721,-0.1391,0.0376,0.1462,0.0637,0.1039,0.0810,2.39,4.13
"PORTO SEGURO",PSSA3,Financeiro,31508138703.8,9.66,2.07,5.23,0.2292,1.6969,0.0827,1.0000,0.8329,0.1490,0.1703,-0.37,1.25
"POSITIVO TEC",POSI3,"Tecnologia da Informação",570036000,67.30,0.37,0.06,0.0054,0.0594,0.0026,0.2513,0.0879,-0.4616,0.0888,2.22,1.69
PRINER,PRNR3,Indústria,1055573287.77,-93.65,2.29,-0.21,-0.0285,0.0347,-0.0076,0.1985,0.1181,-0.1090,0.4521,2.64,1.48
PETRORIO,PRIO3,Energia,61790114525.66,25.66,2.03,2.58,0.3842,0.0515,0.1445,0.1999,0.5234,0.3782,0.5226,3.07,1.82
QUALICORP,QUAL3,Financeiro,545307504,56.46,0.47,0.04,0.0082,0.0626,0.0074,0.8694,0.6212,-0.5142,-0.0651,0.97,0.91
PINE,PINE3,Financeiro,3167401700.99,7.30,2.24,1.66,0.3486,,0.0901,0.2885,,0.6372,0.3627,,
DIMED,PNVL3,"Consumo Básico",2145886653.87,17.38,1.69,0.83,0.0992,0.0783,0.0226,0.3237,0.0850,0.1728,0.1435,2.29,1.74
MARCOPOLO,POMO3,"Consumo Discricionário",7348520657.08,5.94,1.89,0.98,0.3002,0.1513,0.1351,0.2555,0.1745,0.6376,0.2033,0.93,1.89
PARANAPANEMA,PMAM3,Materiais,637740747.37,-0.45,-0.08,-1.11,0.1927,0.2127,-2.3674,-0.4146,-0.4355,0.4388,-0.3340,-23.10,0.03
PLANOEPLANO,PLPL3,Imobiliário,2656830030,7.51,2.66,1.78,0.3887,0.3940,0.1103,0.3109,0.2779,0.1960,0.2609,-0.02,2.38
"PLASCAR PART",PLAS3,"Consumo Discricionário",49577417.82,-0.88,-0.07,0.00,0.0000,0.0780,0.0000,0.1271,0.0324,-0.5697,0.2556,6.41,0.27
"WILSON SONS",PORT3,"Logística Portuária",8304973125,,,,0.2455,0.1253,0.2121,0.4859,0.4037,,,1.72,0.97
PETROBRAS,PETR4,Energia,673224797178.99,5.70,1.51,8.54,0.2696,0.1945,0.2213,0.4763,0.5660,0.7299,0.1283,1.18,0.71
"PAGUE MENOS",PGMN3,"Consumo Básico",4430257020.72,17.27,1.39,0.38,0.0910,0.1992,0.0175,0.3195,0.0923,0.2213,0.1680,1.12,1.59
PETZ,PETZ3,Pet,1957947209.4,49.46,1.16,0.09,0.0237,0.0828,0.0112,0.4700,0.1605,-0.0727,0.2008,-0.27,1.45
PROFARMA,PFRM3,"Consumo Básico",910023881.55,8.61,0.76,0.96,0.0884,-10.6355,0.0104,0.1529,0.0508,0.1784,0.1587,1.10,1.29
